IG,JG
362,278
363,278
364,278
385,278
386,278
387,278
388,278
412,278
609,278
621,278
1081,278
1620,278
1621,278
364,279
365,279
366,279
382,279
383,279
384,279
385,279
412,279
608,279
609,279
621,279
1081,279
1621,279
366,280
367,280
376,280
377,280
378,280
379,280
380,280
381,280
382,280
412,280
607,280
608,280
621,280
1081,280
1621,280
1622,280
367,281
368,281
369,281
370,281
371,281
372,281
373,281
374,281
375,281
376,281
412,281
606,281
607,281
621,281
1081,281
1622,281
1623,281
411,282
412,282
606,282
620,282
621,282
1081,282
1623,282
1624,282
411,283
605,283
606,283
620,283
1081,283
1624,283
411,284
604,284
605,284
619,284
620,284
1081,284
1624,284
1625,284
410,285
411,285
604,285
619,285
1081,285
1625,285
410,286
603,286
604,286
619,286
1081,286
1625,286
1626,286
409,287
410,287
602,287
603,287
618,287
619,287
1081,287
1626,287
409,288
602,288
618,288
1080,288
1081,288
1626,288
1627,288
408,289
409,289
601,289
602,289
617,289
618,289
1080,289
1627,289
1628,289
408,290
600,290
601,290
617,290
1080,290
1628,290
407,291
408,291
438,291
439,291
440,291
441,291
442,291
600,291
617,291
1079,291
1080,291
1628,291
1629,291
406,292
407,292
437,292
438,292
442,292
443,292
599,292
600,292
616,292
617,292
1079,292
1629,292
406,293
435,293
436,293
437,293
443,293
444,293
474,293
475,293
476,293
477,293
478,293
479,293
480,293
481,293
482,293
483,293
484,293
485,293
598,293
599,293
616,293
1079,293
1629,293
1630,293
406,294
407,294
434,294
435,294
444,294
445,294
446,294
471,294
472,294
473,294
474,294
485,294
486,294
487,294
488,294
597,294
598,294
616,294
1078,294
1079,294
1630,294
407,295
432,295
433,295
434,295
446,295
447,295
469,295
470,295
471,295
488,295
489,295
596,295
597,295
615,295
616,295
1078,295
1630,295
407,296
408,296
431,296
432,296
447,296
448,296
469,296
489,296
490,296
491,296
595,296
596,296
615,296
1078,296
1630,296
408,297
428,297
429,297
430,297
431,297
448,297
449,297
468,297
469,297
491,297
492,297
493,297
594,297
595,297
615,297
1077,297
1078,297
1630,297
408,298
409,298
410,298
425,298
426,298
427,298
428,298
449,298
467,298
468,298
493,298
494,298
495,298
594,298
615,298
1077,298
1630,298
410,299
411,299
412,299
422,299
423,299
424,299
425,299
449,299
